,id,sentence,subject_entity,object_entity,relation
0,214,이전에 한 올림픽에서 8개의 메달을 따낸 기록은 모스크바 1980년 하계 올림픽에서 체조 선수 알렉산드르 디트야틴만이 세웠던 것이 유일하다.,"{'word': '알렉산드르 디트야틴만', 'start_idx': 53, 'end_idx': 64, 'type': 'PER'}","{'word': '모스크바 1980년 하계 올림픽', 'start_idx': 27, 'end_idx': 44, 'type': 'EVT'}",인물:참가
1,762,1980년 동계 올림픽은 1932년 동계올림픽을 개최한 전력이 있었던 미국의 레이크플래시드에서 다시 열렸다.,"{'word': '1932년 동계올림픽', 'start_idx': 14, 'end_idx': 25, 'type': 'EVT'}","{'word': '미국의 레이크플래시드', 'start_idx': 39, 'end_idx': 50, 'type': 'LOC'}",행사:장소
2,556,2019년 10월 16일 IOC는 더위 문제 때문에 마라톤과 경보 경기를 홋카이도 삿포로시로 옮겨 진행할 계획이라고 발표했다. 도유지 18 ha 넓이를 차지하며 14~18층 크기의 건물 21동으로 이루어져 있다.,"{'word': '마라톤', 'start_idx': 29, 'end_idx': 32, 'type': 'EVT'}","{'word': '홋카이도 삿포로시', 'start_idx': 41, 'end_idx': 50, 'type': 'LOC'}",관계_없음
3,317,스타마타 레비티가 레이스 말미에 마라톤을 끝내기 위해 경기장으로 들어가는 것은 허락되지 않았지만 레비티는 약 5시간 30분만에 그녀만의 마라톤을 자체적으로 끝냈으며 달린 시간을 증명할 목격자들을 찾았다.,"{'word': '스타마타 레비티', 'start_idx': 0, 'end_idx': 8, 'type': 'PER'}","{'word': '마라톤', 'start_idx': 18, 'end_idx': 21, 'type': 'SPT'}",인물:참가
4,1048,현재 사마란치의 아들 후안 안토니오 사마란치 주니어도 IOC 위원으로 활동하고 있다.,"{'word': '후안 안토니오 사마란치 주니어', 'start_idx': 12, 'end_idx': 28, 'type': 'PER'}","{'word': 'IOC', 'start_idx': 30, 'end_idx': 33, 'type': 'ORG'}",인물:소속
5,34,다음 해에 쿠베르탱과 디미트리오스 비켈라스는 의회 사람들과 충돌했던 개최지 선정 과정을 떠올리며 그와 비슷한 대안을 제시하였다.,"{'word': '쿠베르탱', 'start_idx': 6, 'end_idx': 10, 'type': 'PER'}","{'word': '디미트리오스 비켈라스', 'start_idx': 12, 'end_idx': 23, 'type': 'PER'}",관계_없음
6,210,"볼란드와 트라운은 복식 경기에서 팀을 이뤄 출전했는데, 결승전에서 그리스 선수와 이집트 선수로 구성된 상대팀에게 첫 세트를 내주고도 역전해서 복식종목 우승을 차지했다.","{'word': '트라운', 'start_idx': 5, 'end_idx': 8, 'type': 'PER'}","{'word': '복식종목', 'start_idx': 79, 'end_idx': 83, 'type': 'EVT'}",인물:참가
7,1073,"특히 1988년 서울 하계 올림픽은 미국과 소련을 위시한 양대 진영의 냉전 구도가 극명하게 드러나는 '격전지' 중 하나인 대한민국에서 개최된다는 점에서 공산 진영의 참가 문제가 민감할 수밖에 없었다. 대한민국은 당시 공산 진영의 국가들과 외교 관계조차 수립하지 않은 상황이었고, 조선민주주의인민공화국은 이들 공산 국가들의 참가를 막기 위한 로비 활동을 하였다. 그럼에도 공산 국가인 중화인민공화국이 1984년 7월에, 독일민주공화국이 1985년 3월에 참가를 선언한 상황이었다.","{'word': '독일민주공화국', 'start_idx': 237, 'end_idx': 244, 'type': 'ORG'}","{'word': '1988년 서울 하계 올림픽', 'start_idx': 6, 'end_idx': 21, 'type': 'EVT'}",관계_없음
8,729,"축구 예선전은 요코하마, 사이타마, 미야기, 이바라키, 삿포로에서 나누어 치러지며, 야구 경기는 요코하마, 후쿠시마에서 치러진다.","{'word': '축구 예선전', 'start_idx': 0, 'end_idx': 6, 'type': 'EVT'}","{'word': '요코하마', 'start_idx': 8, 'end_idx': 12, 'type': 'LOC'}",행사:장소
9,783,2년마다 동/하계 대회가 열리는 유러피안 유스 올림픽 페스티벌(European Youth Olympic Festival)과 같이 청소년을 대상으로 한 대회는 성공여부가 입증되었다. 유스 게임이 이 대회들을 본보기로 보고 따라했지만 1998년에 세계 유스 게임이 모스크바에서 처음이자 마지막으로 열렸다. 그 이후로 청소년 올림픽이 청소년대상 국제대회를 계승하게 되었다.,"{'word': '세계 유스 게임', 'start_idx': 136, 'end_idx': 144, 'type': 'EVT'}","{'word': '모스크바', 'start_idx': 146, 'end_idx': 150, 'type': 'LOC'}",행사:장소
